ts	imei	mwra	c.android.gm	c.katana	c.android.youtube	c.dogalize	c.android.chrome	c.updateassist	c.UCMobile.x86	c.UCMobile.intl	c.raider	c.android.vending
2018-05-05 10:00:00	359043379931766452	1.00000	9.41966	11.36816	15.79285	17.74048	4.72740	0.00468	34.20033	51.88892	25.61221	59.09307
2018-05-05 10:01:00	3590433799317661388	0.00000	13.88490	11.33562	9.28987	12.33463	12.07693	0.02109	39.88012	84.19242	99.71059	6.13142
2018-05-05 10:02:00	3590433799317661925	1.00000	12.83463	10.32837	10.42188	11.08948	8.86133	0.14300	41.54384	53.13584	46.26994	31.72603
2018-05-05 10:03:00	863033069630348065	1.00000	12.01256	11.44168	8.05241	14.41212	14.89689	0.49394	63.92628	5.25660	81.50991	30.98744
2018-05-05 10:04:00	3590433799317661487	1.00000	7.20744	8.65551	12.87184	12.77387	8.96060	0.00351	61.11501	70.16616	6.01425	95.08520
2018-05-05 10:05:00	359043379931766577	1.00000	5.86884	14.45117	15.72958	9.03062	14.86917	0.00134	57.59461	29.88284	80.66251	41.17380
2018-05-05 10:06:00	3590433799317661339	0.00000	12.33082	6.35282	8.01781	12.19571	14.13661	0.06373	63.22919	45.07842	56.28296	12.80056
2018-05-05 10:07:00	3590433799317661800	0.00000	7.33495	10.38547	8.79909	14.40549	9.30998	0.04167	46.65998	32.59132	42.22795	55.19374
2018-05-05 10:08:00	863033069630348115	1.00000	8.27880	8.86016	10.74091	11.58639	9.03142	0.00238	62.80032	6.90712	94.47143	3.04440
2018-05-05 10:09:00	3590433799317662410	0.00000	6.79432	11.78626	15.17638	5.11532	10.77949	0.00867	46.63446	64.14868	11.50000	26.28959
2018-05-05 10:10:00	8630330696303481529	0.00000	13.25873	5.89374	9.07243	12.09522	14.93123	0.23536	55.39899	97.45686	62.81876	80.35468
2018-05-05 10:11:00	3590433799317661420	1.00000	8.22478	9.49978	13.56953	3.23469	16.37348	0.00119	65.56122	56.14984	67.34068	79.88827
2018-05-05 10:12:00	8630330696303482378	1.00000	10.62475	11.29320	14.02255	5.84033	12.13803	0.00987	71.15767	71.61041	25.48150	17.35705
2018-05-05 10:13:00	3590433799317661933	1.00000	6.06059	8.79035	11.39717	6.88121	10.42753	0.01362	49.61882	53.04296	67.50358	79.53772
2018-05-05 10:14:00	863033069630348735	1.00000	9.73293	9.41817	12.71888	11.81881	7.29150	0.00063	52.84913	54.12976	6.07726	3.81682
2018-05-05 10:15:00	359043379931766957	1.00000	7.61887	13.68110	12.00303	9.90346	13.35911	0.00097	42.71370	51.55841	90.03243	89.72336
2018-05-05 10:16:00	8630330696303481891	1.00000	7.92396	6.00764	9.13119	9.64190	10.29449	0.00036	50.47709	4.06665	20.81988	31.22648
2018-05-05 10:17:00	359043379931766783	0.00000	12.20548	7.23832	6.87954	7.56012	14.22320	0.21246	62.28277	28.50986	41.34957	87.93928
2018-05-05 10:18:00	863033069630348297	0.00000	14.90140	8.27184	3.92755	12.89211	13.82788	0.15904	61.05870	8.30149	77.37300	55.33031
2018-05-05 10:19:00	359043379931766650	1.00000	6.65943	9.08819	12.06709	10.77879	8.43487	0.00191	69.08865	70.93984	62.43109	14.04926
2018-05-05 10:20:00	3590433799317661859	1.00000	7.12145	12.00869	14.51660	9.71457	10.41869	0.00181	52.34202	44.36293	28.48699	93.42383
2018-05-05 10:21:00	359043379931766205	0.00000	15.50956	6.73437	12.24063	9.10496	10.23798	0.30319	45.21478	60.49842	32.41298	47.10516
2018-05-05 10:22:00	8630330696303481248	0.00000	9.13849	9.66881	6.16522	7.50464	11.10567	0.01815	49.19386	61.55038	89.08442	87.60490
2018-05-05 10:23:00	8630330696303482113	0.00000	12.10712	8.83580	8.03643	9.87076	14.62546	0.01205	31.97562	36.79150	16.03216	2.03290
2018-05-05 10:24:00	863033069630348347	1.00000	11.53216	5.60637	11.72465	12.62345	9.07744	0.00370	26.46630	79.79090	2.08220	5.76771
2018-05-05 10:25:00	8630330696303481891	1.00000	5.10085	12.30370	13.39185	9.79160	10.24142	0.00404	72.49989	14.52406	82.34502	23.41030
