latitude	longitude	store_name	code	location	imei
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	8630330696303482113
8.35122	-62.64102	Ciudad Guayana	VE	America/Caracas	8630330696303481073
52.4089	31.3237	Dobrush	BY	Europe/Minsk	359043379931766395
25.13915	73.06784	Sheoganj	IN	Asia/Kolkata	8630330696303481503
37.49073	-2.77259	Baza	ES	Europe/Madrid	863033069630348396
42.30865	-83.48216	Canton	US	America/Detroit	863033069630348099
53.19146	-2.52398	Winsford	GB	Europe/London	8630330696303481461
43.86682	-79.2663	Markham	CA	America/Toronto	863033069630348834
40.1675	34.37389	Sungurlu	TR	Europe/Istanbul	8630330696303482394
51.4781	57.3552	Kuvandyk	RU	Asia/Yekaterinburg	3590433799317661842
53.7446	-0.33525	Kingston upon Hull	GB	Europe/London	8630330696303481347
41.41204	2.18247	el Camp de l'Arpa del Clot	ES	Europe/Madrid	359043379931766213
38.70734	-77.02303	Fort Washington	US	America/New_York	8630330696303481446
54.39635	24.04142	Alytus	LT	Europe/Vilnius	8630330696303481768
19.21667	73.08333	Dombivli	IN	Asia/Kolkata	359043379931766981
10.61285	12.19458	Biu	NG	Africa/Lagos	3590433799317661008
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	8630330696303481842
55.1904	30.2049	Vitebsk	BY	Europe/Minsk	8630330696303482311
16.0438	120.4861	Manaoag	PH	Asia/Manila	359043379931766718
26.11527	86.59509	Supaul	IN	Asia/Kolkata	3590433799317661263
42	21.32778	Saraj	MK	Europe/Skopje	359043379931766585
37.73604	-120.93549	Riverbank	US	America/Los_Angeles	3590433799317662097
32.52515	-93.75018	Shreveport	US	America/Chicago	359043379931766783
-10.33333	39.28333	Nyangao	TZ	Africa/Dar_es_Salaam	3590433799317662105
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	8630330696303481461
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	3590433799317662253
55.82885	-4.21376	Rutherglen	GB	Europe/London	3590433799317661628
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	863033069630348412
58.04254	65.27258	Tavda	RU	Asia/Yekaterinburg	3590433799317662238
30.46907	70.96699	Kot Addu	PK	Asia/Karachi	359043379931766585
26.9423	68.11759	Tharu Shah	PK	Asia/Karachi	8630330696303481495
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	8630330696303482345
51.78967	1.15597	Clacton-on-Sea	GB	Europe/London	359043379931766031
-3.14306	-58.44417	Itacoatiara	BR	America/Manaus	863033069630348263
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	3590433799317661735
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	3590433799317661990
35.06667	135.21667	Sasayama	JP	Asia/Tokyo	863033069630348123
-28.44917	-52.2	Marau	BR	America/Sao_Paulo	863033069630348040
12.04161	75.35927	Talipparamba	IN	Asia/Kolkata	359043379931766866
52.48173	-2.12139	Brierley Hill	GB	Europe/London	3590433799317661933
40.70995	0.57856	Amposta	ES	Europe/Madrid	8630330696303481891
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	8630330696303481032
29.98869	122.20488	Zhoushan	CN	Asia/Shanghai	359043379931766379
41.09822	120.74792	Nanpiao	CN	Asia/Shanghai	8630330696303481511
32.05971	34.8732	Ganei Tikva	IL	Asia/Jerusalem	3590433799317662022
40.49748	44.7662	Hrazdan	AM	Asia/Yerevan	3590433799317661313
23.29549	113.82465	Licheng	CN	Asia/Shanghai	3590433799317661024
30.17746	-81.38758	Palm Valley	US	America/New_York	8630330696303481347
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	8630330696303481164
38.37255	34.02537	Aksaray	TR	Europe/Istanbul	3590433799317661636
55.82885	-4.21376	Rutherglen	GB	Europe/London	359043379931766155
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	8630330696303482089
55.8736	85.4265	Yashkino	RU	Asia/Novokuznetsk	3590433799317661859
30.16688	-96.39774	Brenham	US	America/Chicago	8630330696303481693
53.59782	34.33825	Dyat’kovo	RU	Europe/Moscow	8630330696303481156
45.53929	-122.38731	Troutdale	US	America/Los_Angeles	8630330696303481545
22.10194	85.37752	Barbil	IN	Asia/Kolkata	359043379931766759
-7.54972	110.71639	Ngemplak	ID	Asia/Jakarta	8630330696303481404
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	863033069630348842
43.48961	-8.2194	Ferrol	ES	Europe/Madrid	863033069630348370
48.86667	2.08333	Marly-le-Roi	FR	Europe/Paris	8630330696303481164
30.24706	115.04814	Huangshi	CN	Asia/Shanghai	863033069630348164
38.38479	-0.76773	Novelda	ES	Europe/Madrid	359043379931766718
45.75279	130.57211	Boli	CN	Asia/Shanghai	8630330696303481784
42.4251	-71.06616	Malden	US	America/New_York	3590433799317661149
35.25064	-91.73625	Searcy	US	America/Chicago	863033069630348313
51.40148	-1.32471	Newbury	GB	Europe/London	3590433799317662402
46.1351	-60.1831	Sydney	CA	America/Glace_Bay	3590433799317661297
51.62907	-0.74934	High Wycombe	GB	Europe/London	863033069630348289
12.18441	18.69303	Mongo	TD	Africa/Ndjamena	3590433799317661305
55.85	37.56667	Likhobory	RU	Europe/Moscow	3590433799317662451
51.95838	4.47124	Schiebroek	NL	Europe/Amsterdam	359043379931766783
51.21667	6.26667	Schwalmtal	DE	Europe/Berlin	863033069630348172
-7.73379	113.69785	Besuki	ID	Asia/Jakarta	8630330696303481834
34.25	135.31667	Iwade	JP	Asia/Tokyo	3590433799317661636
17.54907	82.85749	Elamanchili	IN	Asia/Kolkata	3590433799317661065
41.24255	-82.61573	Norwalk	US	America/New_York	3590433799317661164
37.16911	10.03478	El Alia	TN	Africa/Tunis	8630330696303481032
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	3590433799317662410
