ts	imei	mwra	p.android.settings	p.android.packageinstaller	p.android.gm	p.android.documentsui	p.android.chrome	p.system	p.android.externalstorage	p.google	p.olauncher	p.android.gms	p.browser.provider	p.process.gapps	p.dogalize	p.gms.persistent	p.android.vending	p.android.defcontainer	p.simulator	p.notifier	p.inputmethod.latin	p.katana
2018-05-05 10:00:00	359043379931766452	1.00000	14.84317	9.26987	6.48047	10.56358	11.29776	9.66978	7.01202	51.75337	28.37678	67.15376	58.70704	99.14511	30.15922	46.80586	39.47757	71.04335	18.07725	6.10710	93.51355	43.54900
2018-05-05 10:01:00	3590433799317661388	0.00000	9.28918	10.83458	10.42323	13.67176	12.66188	6.59030	9.05042	39.85186	62.70584	62.87079	70.55709	75.05935	17.47487	54.87990	18.93862	80.71500	42.57503	90.27154	98.06205	13.16659
2018-05-05 10:02:00	3590433799317661925	1.00000	8.52162	12.77834	11.43979	10.51188	12.00562	10.25259	9.46283	68.00572	46.08129	51.10801	35.73376	90.65073	19.59184	68.71474	48.71668	2.84559	97.58948	69.74676	87.89989	87.82491
2018-05-05 10:03:00	863033069630348065	1.00000	10.18947	14.01963	13.18750	13.28949	12.87162	8.95050	9.56550	69.82987	42.76141	59.03873	60.82898	24.18521	73.16847	56.50602	90.77773	13.32702	87.50827	64.63028	49.89641	66.25061
2018-05-05 10:04:00	3590433799317661487	1.00000	13.67891	8.97368	9.87856	8.25736	9.96369	12.30315	9.47917	57.56029	34.81993	39.30859	49.08519	56.95855	47.59887	28.71102	87.78758	75.88927	69.74888	78.87172	22.58957	44.97264
2018-05-05 10:05:00	359043379931766577	1.00000	7.39606	7.81768	12.19884	11.72526	8.74392	13.42022	10.38376	66.23280	51.31241	41.15337	29.45587	26.15529	81.71980	18.50660	53.68285	4.59903	44.26454	61.63861	12.48981	2.59980
2018-05-05 10:06:00	3590433799317661339	0.00000	9.98509	11.96267	11.58998	13.72248	12.12364	10.01540	9.24321	72.78139	40.01380	27.99828	46.14747	82.03599	97.10494	11.45746	1.52852	92.39202	80.22244	52.92558	86.14296	57.69937
2018-05-05 10:07:00	3590433799317661800	0.00000	4.53867	11.53519	16.19077	10.10313	13.45541	9.76832	13.04545	55.70375	51.49876	59.32967	47.41644	9.78986	99.57219	85.62511	79.73580	51.33265	95.69370	2.42671	81.37610	73.99856
2018-05-05 10:08:00	863033069630348115	1.00000	10.12055	8.58152	8.66307	10.25528	13.37743	12.26578	10.07107	45.90923	16.56010	44.71934	25.24030	76.60041	39.89749	13.09482	6.51758	6.89081	32.90896	98.94490	68.29251	30.63306
2018-05-05 10:09:00	3590433799317662410	0.00000	5.57362	9.94400	8.28706	15.65051	18.75683	14.75261	2.80341	66.05054	25.20931	44.60600	52.53049	63.09558	0.62630	24.78161	30.91607	21.53320	10.16218	51.70087	32.37353	75.03793
